Port,longitude,latitude
PUERTO PLATA,-70.42,19.48
SANTA BARBARA DE SAMANA,-69.2,19.12
PUERTO BOTADO,-69.27,19.12
SANCHEZ,-69.37,19.14
LA ROMANA,-68.58,18.25
SAN PEDRO DE MACORIS,-69.19,18.27
ANDRES (ANDRES LGN TERMINAL),-69.38,18.26
SANTO DOMINGO,-69.53,18.28
PUERTO DE HAINA,-70.01,18.25
PUNTA NIZAO OIL TERMINAL,-70.12,18.12
LAS CALDERAS,-70.31,18.13
PUERTO VIEJO DE AZUA,-70.5,18.21
SANTA CRUZ DE BARAHONA,-71.05,18.12
CABO ROJO,-71.39,17.55
AGUADILLA,-67.09,18.26
ARECIBO,-66.42,18.29
SAN JUAN,-66.07,18.28
BAHIA DE FAJARDO,-65.38,18.2
ENSENADA HONDA,-65.38,18.14
PLAYA DE HUMACAO,-65.45,18.1
PUERTO YABUCOA,-65.5,18.03
ARROYO,-66.04,17.58
BAHIA DE JOBOS,-66.11,17.57
LAS MAREAS,-66.1,17.57
PLAYA DE PONCE,-66.37,17.59
PLAYA DE GUAYANILLA,-66.46,18.01
PLAYA DE GUANICA,-66.55,17.58
MAYAGUEZ,-67.09,18.12
CHARLOTTE AMALIE,-64.56,18.21
CRUZ BAY,-64.48,18.2
FREDERIKSTED,-64.53,17.43
LIMETREE BAY,-64.45,17.42
PORT ALUCROIX,-64.46,17.42
CHRISTIANSTED,-64.42,17.45
ROAD HARBOR,-64.37,18.25
BAIE DU MARIGOT,-63.05,18.04
PHILLIPSBURG,-63.03,18.01
COLES BAY OIL TERMINAL,-63.05,18.01
GUSTAVIA,-62.51,17.54
ORANJESTAD,-62.59,17.29
BASSETERRE,-62.43,17.18
CHARLESTOWN,-62.38,17.08
ST JOHNS,-61.51,17.07
POINTE A PITRE,-61.32,16.14
BASSE TERRE,-61.44,16
PORT LOUIS,-61.32,16.25
ROSEAU,-61.24,15.18
PORTSMOUTH,-61.28,15.34
FORT DE FRANCE,-61.04,14.36
VIEUX FORT,-60.58,13.43
GRAND CUL DE SAC BAY,-61.01,13.59
CASTRIES,-61,14.01
KINGSTOWN,-61.14,13.09
ST GEORGE'S,-61.45,12.03
BRIDGETOWN,-59.38,13.06
SCARBOROUGH,-60.44,11.11
CHAGUARAMAS,-61.39,10.41
ANSE TEMBLADORA,-61.35,10.41
PORT OF SPAIN,-61.31,10.39
POINT LISAS PORT,-61.29,10.23
POINTE A PIERRE,-61.28,10.19
POINT LISAS INDUSTRIAL PORT,-61.3,10.24
BRIGHTON,-61.38,10.15
POINT FORTIN,-61.42,10.12
GALEOTA POINT TERMINAL,-60.59,10.08
KRALENDIJK,-68.17,12.09
GOTO OIL TERMINAL,-68.23,12.13
SALINA,-68.17,12.05
CARACASBAAI,-68.52,12.04
WILLEMSTAD,-68.56,12.07
BULLEN BAAI,-69.02,12.11
SINT MICHELSBAAI,-69.01,12.08
SINT NICOLAAS BAAI,-69.55,12.26
PAARDEN BAAI - (ORANJESTAD),-70.02,12.31
TURBO,-76.44,8.05
COVENAS,-75.41,9.25
COVENAS OFFSHORE TERM.,-75.44,9.3
MAMONAL,-75.31,10.19
EL BOSQUE,-75.32,10.24
CARTAGENA,-75.32,10.25
BARRANQUILLA,-74.46,10.58
PUERTO PRODECO,-74.13,11.09
POZOS COLORADOS,-74.15,11.09
SANTA MARTA,-74.13,11.15
PUERTO BOLIVAR,-71.58,12.15
MARACAIBO,-71.36,10.38
SAN LORENZO,-71.04,9.47
LA SALINA,-71.28,10.22
PUNTA DE PALMAS,-71.35,10.47
BAJO GRANDE,-71.38,10.31
PUERTO MIRANDA,-71.34,10.46
EL TABIAZO,-71.32,10.46
PUNTA CARDON,-70.14,11.38
LAS PIEDRAS,-70.13,11.42
AMUAY (BAHIA DE AMUAY),-70.14,11.45
PUERTO CUMAREBO,-69.21,11.29
PUERTO CHICHIRIVICHE,-68.16,10.55
EL PALITO,-68.07,10.29
VENTERMINALS,-68.02,10.29
PUERTO CABELLO,-68,10.29
PUERTO BORBURATA,-67.59,10.29
CATIA LA MAR,-67.01,10.36
LA GUAIRA,-66.56,10.37
JOSE TERMINAL,-64.51,10.06
PUERTO LA CRUZ,-64.38,10.15
GUANTA,-64.35,10.15
BAHIA DE PERTIGALETE,-64.34,10.14
CUMANA (PUERTO SUCRE),-64.11,10.28
EL GUAMACHE,-64.06,10.54
CARUPANO,-63.15,10.42
GUIRIA,-62.18,10.34
PUERTO DE HIERRO,-62.06,10.38
CARIPITO,-63.02,10.09
PALUA,-62.41,8.22
PUERTO ORDAZ,-62.43,8.21
CIUDAD BOLIVAR,-63.33,8.08
GEORGETOWN,-58.1,6.5
LINDEN,-58.18,6
NEW AMSTERDAM,-57.31,6.15
NIEUW NICKERIE,-57,5.57
PARAMARIBO,-55.1,5.5
PARANAM,-55.06,5.37
MOENGO,-54.25,5.38
DEGRAD DES CANNES,-52.16,4.51
PORTO SANTANA,-51.11,-0.03
BELEM,-48.3,-1.27
VILA DO CONDE,-48.45,-1.33
CAMETA,-49.3,-2.15
SANTAREM,-54.43,-2.25
ITACOATIARA,-58.27,-3.09
MANAUS,-60.01,-3.08
IQUITOS,-73.14,-3.45
ITAQUI,-44.22,-2.34
TUTOIA,-42.17,-2.47
CAMOCIM,-40.5,-2.54
PORTO DE MUCURIPE,-38.29,-3.43
GUAMARE OIL TERMINAL,-36.17,-4.52
NATAL,-35.12,-5.47
CABEDELO,-34.5,-6.58
RECIFE,-34.52,-8.03
PORTO DE SUAPE,-34.58,-8.24
PORTO DE MACEIO,-35.44,-9.4
PORT DE ARACAJU,-37.03,-10.55
PORT DE SALVADOR,-38.31,-12.58
ARATU,-38.3,-12.47
MADRE DE DEUS,-38.37,-12.45
PORT OF ILHEUS,-39.01,-14.47
PORTOCEL,-40.03,-19.51
VITORIA,-40.2,-20.19
TUBARAO,-40.15,-20.17
SANTA CLARA,-51.22,-20.53
MACAE,-41.46,-22.22
DTSE / GEGUA OIL TERMINAL,-43.09,-22.49
PORTO DO FORNO,-42.01,-22.58
RIO DE JANEIRO,-43.1,-22.54
NITEROI,-43.07,-22.53
GUAIBA ISLAND TERMINAL,-44.02,-23.01
ANGRA DOS REIS,-44.19,-23.01
GEBIG,-44.13,-23.03
SAO SEBASTIAO,-45.24,-23.48
SANTOS,-46.18,-23.57
PARANAGUA,-48.31,-25.3
SAO FRANCISCO,-48.38,-26.15
ITAJAI,-48.38,-26.55
IMBITUBA,-48.4,-28.14
LAGUNA,-48.47,-28.3
TRAMANDAI,-50.08,-29.59
RIO GRANDE,-52.05,-32.03
PELOTAS,-52.2,-31.47
PORTO ALEGRE,-51.14,-30.02
LA PALOMA,-54.09,-34.39
JOSE IGNACIO,-54.42,-34.57
MONTEVIDEO,-56.13,-34.54
PUERTO SAUCE,-57.27,-34.26
COLONIA,-57.51,-34.28
NUEVA PALMIRA,-58.25,-33.53
FRAY BENTOS,-58.19,-33.07
PAYSANDU,-58.04,-32.19
PUERTO DE ASUNCION,-57.41,-25.16
SANTA FE,-60.42,-31.39
PARANA,-60.32,-31.43
DIAMANTE,-60.39,-32.04
PUERTO SAN MARTIN,-60.44,-32.43
SAN LORENZO,-60.44,-32.45
ROSARIO,-60.38,-32.57
VILLA CONSTITUCION,-60.2,-33.14
SAN NICOLAS,-60.14,-33.2
RAMALLO,-60.01,-33.29
SAN PEDRO,-59.49,-33.35
PUERTO IBICUY,-59.11,-33.45
ZARATE,-59.02,-34.05
CAMPANA,-58.58,-34.09
CONCORDIA,-58.02,-31.24
COLON,-58.08,-32.13
CONCEPCION DEL URUGUAY,-58.14,-32.29
BUENOS AIRES,-58.22,-34.36
LA PLATA,-57.53,-34.5
MAR DEL PLATA,-57.32,-38.02
QUEQUEN,-58.42,-38.35
PUERTO ROSALES,-62.04,-38.56
PUERTO BELGRANO,-62.06,-38.53
BAHIA BLANCA,-62.16,-38.47
PUERTO INGENIERO WHITE,-62.16,-38.48
PUERTO NACIONAL,-62.17,-38.48
PUERTO GALVAN,-62.18,-38.47
SAN BLAS,-62.14,-40.34
PUERTO MADRYN,-65.02,-42.46
COMODORO RIVADAVIA,-67.28,-45.52
PUERTO DESEADO,-65.54,-47.45
PUERTO SAN JULIAN,-67.42,-49.19
PUERTO SANTA CRUZ,-68.31,-50.01
PUERTO GALLEGOS,-68.58,-51.37
SAN SEBASTIAN BAY,-68.3,-53.1
RIO GRANDE,-67.41,-53.47
USHUAIA,-68.18,-54.49
VILLA CONSTITUCION,-60.2,-33.18
STANLEY,-57.5,-51.42
PRINCE OLAV HARBOR,-37.09,-54.02
STROMNESS HARBOR,-36.42,-54.09
GRYTVIKEN,-36.3,-54.16
PUERTO WILLIAMS,-67.36,-54.56
PUNTA DELGADA,-69.33,-52.28
PUERTO SARA,-70.12,-52.38
CALETA CLARENCIA,-70.06,-52.54
RADA PUNTA ARENAS,-70.54,-53.1
BAHIA AGUA FRESCA,-70.58,-53.23
PORT SAN JUAN DE LA JUAN,-70.55,-53.38
BAHIA HARRIS,-70.27,-53.51
PUERTO YARTOU,-70.09,-53.53
CALETA MINA ELENA,-71.54,-52.41
PUERTO NATALES,-72.34,-51.43
PUERTO CHACABUCO,-72.5,-45.28
PUERTO CASTRO,-73.46,-42.29
PUERTO QUEMCHI,-73.29,-42.09
PUERTO MONTT,-72.58,-41.29
PUERTO DE CORRAL,-73.26,-39.52
BAHIA DE VALDIVIA,-73.15,-39.48
LOTA,-73.09,-37.06
CORONEL,-73.1,-37.02
BAHIA SAN VICENTE,-73.1,-36.44
TALCAHUANO,-73.06,-36.42
LIRQUEN,-72.59,-36.43
PENCO,-73,-36.43
PUERTO SAN ANTONIO,-71.37,-33.35
BAHIA DE VALPARAISO,-71.37,-33.02
BAHIA QUINTERO (VENTANAS),-71.32,-32.46
BAHIA HERRADURA GUAYACAN,-71.22,-29.58
COQUIMBO,-71.2,-29.57
HUASCO,-71.15,-28.28
PUERTO CALDERA,-70.5,-27.03
PUERTO CALDERILLA,-70.52,-27.05
PUERTO CHANARAL,-70.39,-26.21
TALTAL,-70.29,-25.24
ANTOFAGASTA,-70.25,-23.39
MEJILLONES,-70.28,-23.06
CALETA PATILLOS,-70.12,-20.44
TOCOPILLA,-70.14,-22.05
IQUIQUE,-70.1,-20.12
RADA DE ARICA,-70.2,-18.28
PUERTO ILO,-71.22,-17.38
BAHIA DE MATARANI,-72.07,-17
BAHIA SAN NICOLAS,-75.14,-15.15
CONCHAN OIL TERMINAL,-77,-12.1
PUERTO DEL CALLAO,-77.09,-12.03
LA PAMPILLA OIL TERMINAL,-77.08,-11.56
BAHIA DE ANCON,-77.11,-11.45
CHANCAY,-77.15,-11.35
PUERTO DE HUACHO,-77.37,-11.07
PUERTO SUPE,-77.45,-10.48
PUNTA LOBITOS (BAHIA DE HUARMEY),-78.1,-10.06
PUERTO DE CHIMBOTE,-78.37,-9.05
SALAVERRY,-78.59,-8.14
PIMENTAL,-79.56,-6.5
PUERTO BAYOVAR,-81.03,-5.5
PAITA,-81.07,-5.05
TALARA,-81.17,-4.35
CALETA LOBITOS,-81.17,-4.27
PUERTO CABO BLANCO,-81.14,-4.15
PUERTO BOLIVAR,-80,-3.16
GUAYAQUIL,-79.53,-2.12
PUERTO MARITIMO DE GUAYAQUIL,-79.54,-2.17
LA LIBERTAD,-80.55,-2.13
MANTA,-80.43,-0.57
ESMERALDAS,-79.39,1
TUMACO,-78.45,1.49
BUENAVENTURA,-77.04,3.53
BALBOA,-79.34,8.57
VACAMONTE,-79.4,8.52
CHARCO AZUL,-82.52,8.13
PEDREGAL,-82.26,8.21
PUERTO ARMUELLES,-82.51,8.16
GOLFITO,-83.1,8.38
PUERTO QUEPOS,-84.1,9.26
PUERTO CALDERA,-84.43,9.55
PUNTARENAS,-84.5,9.59
PUERTO SANDINO,-86.46,12.11
CORINTO,-87.1,12.29
PUERTO DE HENCAN,-87.27,13.24
LA UNION,-87.5,13.2
ACAJUTLA,-89.5,13.35
ACAJUTLA OFFSHORE TERMINAL,-89.52,13.35
PUERTO QUETZAL,-90.48,13.55
PUERTO MADERO,-92.27,14.42
SALINA CRUZ,-95.12,16.1
ACAPULCO,-99.56,16.51
LAZARO CARDENAS,-102.1,17.56
MANZANILLO,-104.19,19.03
PUERTO VALLARTA,-105.16,20.37
MAZATLAN,-106.25,23.12
TOPOLOBAMPO,-109.04,25.36
GUAYMAS,-110.55,27.55
SANTA ROSALIA,-112.17,27.2
ISLA SAN MARCOS,-112.06,27.11
SAN JUAN DE LA COSTA,-110.42,24.24
PICHILINGUE,-110.2,24.16
LA PAZ,-110.19,24.1
PUERTO MORRO REDONDO,-115.11,28.03
ENSENADA,-116.38,31.52
ROSARITO,-117.06,32.22
SAN DIEGO,-117.11,32.43
WILSON COVE,-118.33,33
ISTHMUS COVE,-118.3,33.27
AVALON,-118.19,33.21
NEWPORT BEACH,-117.54,33.37
LONG BEACH,-118.11,33.46
LOS ANGELES,-118.15,33.45
EL SEGUNDO,-118.26,33.55
PORT HUENEME,-119.12,34.09
PRISONERS,-119.41,34.01
VENTURA,-119.17,34.17
CARPINTERIA,-119.31,34.23
SANTA BARBARA,-119.41,34.25
ELLWOOD,-119.55,34.26
GAVIOTA,-120.12,34.28
PISMO BEACH,-120.39,35.08
PORT SAN LUIS,-120.45,35.1
MORRO BAY,-120.51,35.22
MONTEREY,-121.53,36.37
MOSS LANDING,-121.47,36.48
SANTA CRUZ,-122.01,36.58
DAVENPORT,-122.12,37.01
PRINCETOWN,-122.29,37.3
SAN FRANCISCO,-122.25,37.49
YERBABUENA ISLAND,-122.22,37.49
REDWOOD CITY,-122.12,37.32
ALAMEDA,-122.16,37.47
OAKLAND,-122.2,37.49
BERKELEY,-122.18,37.52
POINT RICHMOND,-122.22,37.55
POINT SAN PABLO,-122.26,37.58
SAUSALITO,-122.29,37.51
PINOLE POINT,-122.22,38.01
OLEUM,-122.16,38.03
MARE ISLAND,-122.16,38.06
SOUTH VALLEJO,-122.15,38.05
CROCKETT,-122.13,38.03
PORT COSTA,-122.11,38.03
BENICIA,-122.09,38.03
MARTINEZ,-122.08,38.02
PITTSBURG,-121.53,38.02
ANTIOCH,-121.48,38.01
STOCKTON,-121.18,37.57
RIO VISTA,-121.42,38.09
ISLETON,-121.36,38.1
WALNUT GROVE,-121.31,38.14
COURTLAND,-121.34,38.2
SACRAMENTO,-121.3,38.35
BODEGA BAY,-123.03,38.2
FORT BRAGG,-123.49,39.27
FIELDS LANDING,-124.13,40.43
EUREKA,-124.11,40.48
SAMOA,-124.11,40.49
CRESCENT CITY,-124.12,41.45
PORT ORFORD,-124.3,42.44
BANDON,-124.25,43.07
PROSPER,-124.22,43.09
EMPIRE,-124.17,43.24
NORTH BEND,-124.13,43.24
COOS BAY,-124.13,43.22
WINCHESTER BAY,-124.11,43.41
GARDINER,-124.06,43.43
REEDSPORT,-124.06,43.42
FLORENCE,-124.07,43.58
GLENADA,-124.07,43.58
CUSHMAN,-124.04,43.59
WALDPORT,-124.04,44.26
NEWPORT,-124.03,44.38
TOLEDO,-123.56,44.37
DEPOE BAY,-124.04,44.48
ILWACO,-124.03,46.18
WARRENTON,-123.55,46.1
ASTORIA,-123.5,46.12
TONGUE POINT,-123.45,46.12
WESTPORT,-123.23,46.08
RAINIER,-122.56,46.05
LONGVIEW,-122.56,46.08
KALAMA,-122.51,46.01
ST HELENS,-122.48,45.52
PORTLAND,-122.4,45.31
VANCOUVER,-122.41,45.38
CAMAS,-122.24,45.35
WASHOUGAL,-122.21,45.35
THE DALLES,-121.11,45.36
NAHCOTTA,-124.02,46.3
SOUTH BEND,-123.47,46.4
RAYMOND,-123.44,46.41
WILLAPA HARBOR,-123.45,46.41
WESTHAVEN COVE,-124.07,46.55
BAY CITY,-124.04,46.52
ABERDEEN,-123.49,46.59
HOQUIAM,-123.54,46.58
LA PUSH,-124.38,47.54
NEAH BAY,-124.37,48.22
SEKIU,-124.18,48.16
PORT ANGELES,-123.26,48.07
PORT TOWNSEND,-122.45,48.07
GLEN COVE,-122.47,48.05
HOODSPORT,-123.08,47.25
PORT GAMBLE,-122.35,47.51
POULSBO,-122.39,47.44
KEYPORT,-122.37,47.42
WINSLOW,-122.31,47.37
CREOSOTE,-122.3,47.37
FORT WARD,-122.31,47.35
EAST BREMERTON,-122.37,47.34
SILVERDALE,-122.42,47.39
BREMERTON,-122.39,47.34
PORT ORCHARD,-122.38,47.32
QUARTERMASTER HARBOR,-122.28,47.23
SHELTON,-123.06,47.13
OLYMPIA,-122.54,47.03
NISQUALLY HEAD,-122.45,47.07
TACOMA,-122.25,47.17
SEATTLE,-122.2,47.36
POINT WELLS,-122.24,47.47
EDWARDS POINT,-122.24,47.48
MUKILTEO,-122.18,47.57
EVERETT,-122.13,48
COUPEVILLE,-122.41,48.14
RICHARDSON,-122.54,48.27
FRIDAY HARBOR,-123.01,48.32
ROCHE  HARBOR,-123.1,48.37
ORCAS,-122.56,48.36
ANACORTES,-122.37,48.31
BELLINGHAM,-122.3,48.45
CHERRY POINT,-122.45,48.52
SEMIAHMOO,-122.46,48.59
BLAINE,-122.45,49
STEVESTON,-123.11,49.08
NEW WESTMINSTER,-122.55,49.12
FRASER MILLS,-122.52,49.13
PORT COQUITLAM,-122.47,49.16
MISSION CITY,-122.15,49.07
VANCOUVER,-123.07,49.17
PORT MOODY,-122.53,49.17
SQUAMISH,-123.09,49.41
PORT MELLON,-123.29,49.31
WESTVIEW,-124.31,49.5
POWELL RIVER,-124.32,49.52
DUNCAN BAY,-125.17,50.04
CAMPBELL RIVER,-124.14,50.01
COMOX HARBOR,-124.55,49.4
NANOOSE HARBOR,-124.09,49.16
NANAIMO,-123.56,49.1
HARMAC,-123.51,49.08
CHEMAINUS,-123.43,48.56
CROFTON,-123.38,48.52
COWICHAN BAY,-123.37,48.45
GANGES,-123.29,48.51
LYALL HARBOR,-123.12,48.48
HOPE BAY,-123.17,48.48
SIDNEY,-123.23,48.39
BAMBERTON,-123.31,48.33
VICTORIA HARBOR,-123.23,48.26
ESQUIMALT HARBOR,-123.26,48.26
PORT SAN JUAN,-124.26,48.33
PORT ALBERNI,-124.49,49.14
UCLUELET,-125.33,48.57
CLAYOQUOT,-125.55,49.09
AHOUSAT,-126.04,49.17
GOLD RIVER,-126.07,49.41
TAHSIS,-126.4,49.55
BERGH COVE,-127.37,50.32
PORT ALICE,-127.27,50.23
COAL HARBOR,-127.35,50.36
PORT HARDY,-127.29,50.43
SOINTULA,-127.01,50.38
ALERT BAY,-126.56,50.35
PORT MCNEILL,-127.05,50.35
BELLA COOLA,-126.48,52.22
BELLA BELLA,-128.09,52.1
KLEMTU,-128.31,52.36
BUTEDALE,-128.41,53.1
KEMANO BAY,-128.08,53.29
KITIMAT,-128.41,54
PORPOISE HARBOR,-130.17,54.13
PRINCE RUPERT,-130.2,54.19
PORT SIMPSON,-130.26,54.34
STEWART,-130,55.56
MASSET HARBOR,-132.09,54.01
PORT CLEMENTS,-132.11,53.41
QUEEN CHARLOTTE,-132.05,53.15
ALLIFORD BAY,-131.59,53.13
HYDER,-130,55.55
HIDDEN INLET,-130.2,54.57
METLAKATLA,-131.34,55.08
GEORGE INLET,-131.28,55.23
KETCHIKAN,-131.39,55.2
WARD COVE,-131.44,55.24
KNUDSON COVE,-131.48,55.28
LORING,-131.38,55.36
YES BAY,-131.48,55.55
UNION BAY,-132.13,55.46
BURNETT INLET,-132.28,56.04
WRANGELL,-132.23,56.28
KASAAN,-132.24,55.32
ROSE INLET,-132.58,54.57
HYDABURG,-132.5,55.12
WATERFALL,-133.14,55.18
CRAIG,-133.09,55.28
KLAWOCK,-133.06,55.33
STEAMBOAT BAY,-133.38,55.32
FISHERMANS HARBOR,-133.48,55.58
PETERSBURG,-132.57,56.49
KAKE,-133.56,56.58
WASHINGTON BAY,-134.21,56.44
BAY OF PILLARS,-134.14,56.36
BIG PORT WALTER,-134.44,56.23
LITTLE PORT WALTER,-134.38,56.23
PORT ARMSTRONG,-134.4,56.18
PORT CONCLUSION,-134.41,56.15
PORT ALEXANDER,-134.39,56.15
SITKA,-135.2,57.03
KIMSHAN COVE,-136.07,57.41
PELICAN,-136.14,57.58
ELFIN COVE,-136.21,58.12
HOONAH,-135.27,58.07
TENAKEE SPRINGS,-135.12,57.47
CHATHAM,-134.56,57.31
TODD,-135.03,57.28
HOOD BAY,-134.3,57.24
HAWK INLET,-134.45,58.07
FUNTER,-134.54,58.15
DUPONT,-134.16,58.14
JUNEAU,-134.25,58.18
PORT CHILKOOT,-135.26,59.14
HAINES,-135.26,59.14
TANANI POINT,-135.27,59.17
SKAGWAY,-135.2,59.27
LETNIKOF COVE,-135.24,59.11
EXCURSION INLET,-135.27,58.25
YAKUTAT,-139.44,59.33
KATALLA,-144.32,60.12
ORCA,-145.43,60.35
CORDOVA,-145.46,60.33
SHEPARD POINT,-145.4,60.38
SWANPORT,-146.24,61.05
VALDEZ,-146.15,61.07
WHITTIER,-148.4,60.5
CRAB BAY,-148,60.04
PORT ASHTON,-148.03,60.04
SAN JUAN CANNERY,-148.04,60.03
LATOUCHE,-148.04,60.03
SEWARD,-149.26,60.06
PORT GRAHAM,-151.49,59.21
SELDOVIA,-151.44,59.26
HOMER,-151.25,59.36
COAL POINT,-151.25,59.36
NINILCHIK,-151.41,60.03
KENAI,-151.16,60.33
NIKISKI,-151.24,60.41
ANCHORAGE,-149.54,61.13
DRIFT RIVER,-152.08,60.33
SNUG HARBOR,-152.35,60.06
OUZINKIE,-152.3,57.55
KODIAK,-152.24,57.47
WOMENS BAY,-152.31,57.43
PORT HOBRON,-153.1,57.1
MCCORD,-153.12,57.09
THREE SAINTS BAY,-153.3,57.07
TRAP POINT,-154.09,57
LAZY BAY,-154.15,56.54
KARLUK,-154.27,57.34
UYAK,-154,57.38
LARSEN BAY,-153.59,57.32
PORT OBRIEN,-153.19,57.44
DRY SPRUCE BAY,-153.02,57.56
PORT VITA,-153.04,58.04
BEAR ISLAND,-152.41,58.27
HOGG ISLAND,-152.41,58.28
PORT WILLIAM,-152.35,58.29
KANATAK,-156.02,57.34
CHIGNIK,-158.24,56.18
IVANOF BAY,-159.28,55.48
SAND POINT,-160.32,55.2
BARALOF BAY,-160.32,55.14
UNGA,-160.3,55.11
BELKOFSKI,-162.02,55.05
KING COVE,-162.19,55.03
COLD BAY,-162.42,55.12
SANAK,-162.49,54.29
AKUTAN HARBOR,-165.48,54.08
CANNERY BAY,-166.45,53.42
MAKUSHIN,-166.59,53.46
DUTCH HARBOR,-166.32,53.54
UNALASKA,-166.32,53.52
PALISADES POINT,-174.1,52.14
ADAK NAVAL AIR STATION,-176.38,51.52
CONSTANTINE HARBOR,179.18,51.24
KISKA,177.33,51.58
ALCAN HARBOR,174.04,52.44
SKOOT COVE,174.04,52.43
MASSACRE BAY,173.14,52.5
VILLAGE COVE,-170.16,57.08
PORT MOLLER,-160.34,55.59
PORT HEIDEN,-158.42,56.53
PILOT POINT,-157.36,57.34
UGASHIK,-157.25,57.32
EGEGIK,-157.22,58.12
NAKNEK,-157.01,58.43
KOGGIUNG,-156.55,58.58
EKUK,-158.34,58.49
CLARKS POINT,-158.33,58.51
DILLINGHAM,-158.29,59.02
PLATINUM,-161.5,59.01
BETHEL,-161.43,60.49
NASH HARBOR,-166.59,60.12
KWIGUK,-164.28,62.44
KOTLIK,-163.33,63.02
HAMILTON,-163.55,62.54
ST MICHAEL,-162.02,63.29
UNALAKLEET,-160.47,63.53
SOLOMON,-164.24,64.33
NOME,-165.25,64.3
GRANTLEY HARBOR,-166.2,65.16
SAVOONGA,-170.24,63.41
SHISHMAREF,-166.05,66.15
DEERING,-162.44,66.05
KOTZEBUE,-162.35,66.55
WAINWRIGHT,-160,70.39
BARROW,-156.47,71.17
PRUDHOE BAY,-148.25,70.2
BERNARD HARBOR,-143.38,70.08
TUKTOYAKTUK,-133,69.27
POLICE POINT,-124.45,70.11
PAULATUK,-124.05,69.21
PEARCE POINT,-122.45,69.49
TYSOE POINT,-120.45,69.36
SACHS HARBOR,-125.15,71.58
CAPE YOUNG,-116.56,68.56
BERNARD HARBOR,-114.46,68.47
LADY FRANKLIN POINT,-113.16,68.29
COPPERMINE,-115.03,67.48
CAMBRIDGE BAY,-105.04,69.07
RESOLUTE BAY,-95.54,74.41
BARENTSBURG,14.14,78.04
LONGYEARBYEN,15.42,78.12
NY ALESUND,11.57,78.55
KIRKENES,30.03,69.44
VADSO,29.45,70.04
BATSFJORDEN,29.44,70.38
VARDO,31.07,70.22
BERLEVAG,29.06,70.52
KJOLLEFJORDEN,27.2,70.57
HONNINGSVAG,26,70.59
KVALSUND,23.59,70.3
HAMMERFEST,23.4,70.4
SORVAER,21.59,70.38
BREDVIK,22.08,70.35
OKSFJORD,22.21,70.14
ALTA,23.15,69.58
TALVIK,22.58,70.03
TROMSO,18.58,69.39
GIBOSTAD,18.05,69.21
FINNSNES,17.58,69.14
MEDBY,17.44,68.55
SJOVEGAN,17.5,68.53
HARSTAD,16.33,68.48
ANDENES,16.08,69.2
SORTLAND,15.25,68.42
STOKKMARKNES,14.55,68.34
REINE,13.06,67.56
BALLSTAD,13.42,68.04
